   retell               vt.再讲，重述，复述
   retire               vi.退下；引退；就寝
   retreat              vi.(被迫)退却，后退
   return               vi.&n.回来，返回
   reveal               vt.展现；揭示，揭露
   revenge              vt.替…报仇 n.报仇
   reverse              vt.颠倒，翻转 n.背面
   review               vt.再检查 n.复习
   revise               vt.修订，校订；修改
   revolt               vi.&n.反抗，造反
   revolution           n.革命；旋转，绕转
   revolutionary        a.革命的 n.革命者
   reward               n.报答；报酬 vt.报答
   rhythm               n.韵律，格律；节奏
   rib                  n.肋，肋骨
   ribbon               n.缎带，丝带；带
   riddle               n.谜，谜语
   ride                 vi.&n.骑马，乘车
   rider                n.骑马的人；乘车的人
   ridge                n.脊；岭，山脉；垄
   ridiculous           a.荒谬的，可笑的
   rifle                n.步枪，来复枪
   ripen                vt.使熟 vi.成熟
   rival                n.竞争者 a.竞争的
   river                n.江，河，水道
   road                 n.路，道路，公路
   roar                 vi.吼叫；呼喊 n.吼
   roast                vt.&vi.烤，炙，烘
   rob                  vt.&vi.抢劫；劫掠
   robber               n.强盗，盗贼
   robbery              n.抢劫，劫掠，盗取
   robe                 n.长袍，长衣，浴衣
   robot                n.机器人；自动机
   rock                 vt.摇，使动摇 vi.摇
   rock                 n.岩，岩石；石头
   rocket               n.火箭，火箭发动机
   romantic             a.浪漫的；传奇的
   roof                 n.屋顶，车顶；顶
   rotary               a.旋转的，转动的
   rotate               vi.旋转 vt.使旋转
   rotation             n.旋转，转动；循环
   rotten               a.腐烂的，发臭的
   rough                a.表面不平的；粗略的
   roughly              ad.粗糙地，粗略地
   round                a.圆的 n.兜圈；一轮
   rouse                vt.唤醒，唤起；惊起
   route                n.路，路线，路程
   routine              n.例行公事 a.日常的
   row                  n.(一)排，(一)行
   row                  vt.划(船等) vi.划船
   royal                a.王的；皇家的
   rub                  vt.摩擦，擦 vi.摩擦
   rubber               n.橡皮(擦子)；橡胶
   rubbish              n.垃圾，废物；废话
   rude                 a.加工粗糙的；粗野的
   rug                  n.小地毯；毛毯
   ruin                 n.毁灭；废墟 vt.毁坏
   ruler                n.统治者；尺，直尺
   rumour               n.谣言，谣传，传闻
   run                  vi.跑，奔；行驶；流
   runner               n.赛跑的人
   rural                a.农村的，田园的
   rush                 vi.冲，奔 vt.催促
   Russian              a.俄罗斯的 n.俄国人
   rust                 n.锈 vi.生锈，氧化
   rusty                a.生锈的；变迟钝的
