communication n.通讯；传达；交通
communism n.共产主义
communist n.共产党员
community n.社区；社会；公社
companion n.同伴；共事者；伴侣
comparison n.比较，对照；比似
compass n.罗盘，指南针；圆规
compel vt.强迫，迫使屈服
compete vi.比赛；竞争；对抗
competent a.有能力的；应该做的
competition n.竞争，比赛
compile vt.编辑，编制，搜集
complaint n.抱怨；怨言；控告
complete a.完整的；完成的
complex a.结合的；复杂的
complicated a.复杂的，难懂的
component n.组成部分；分；组件
compose vt.组成，构成；创作
composition n.构成；作品；写作
compound n.化合物；复合词
comprehension n.理解，理解力；领悟
comprehensive a.广泛的；理解的
compress vt.压紧，压缩
comprise vt.包含，包括；构成
compromise n.妥协，和解
comrade n.同志，亲密的同伴
conceal vt.把…隐藏起来
concentrate vt.集中；聚集；浓缩
concentration n.集中；专注；浓缩
concept n.概念，观念，设想
conclude vt.推断出；结束
conclusion n.结论，推论；结尾
concrete n.混凝土；具体物
condemn vt.谴责，指责；判刑
condense vt.压缩，使缩短
condition n.状况，状态；环境
conduct n.举止，行为；指导
conductor n.售票员；(乐队)指挥
conference n.会议，讨论会
confess vt.供认，承认；坦白
confidence n.信任；信赖；信心
confine vt.限制；禁闭
confirm vt.证实，肯定；批准
conflict n.争论；冲突；斗争
confuse vt.使混乱，混淆
confusion n.混乱；骚乱；混淆
congratulate vt.祝贺，向…道喜
congratulation n.祝贺；祝贺词
congress n.大会；国会，议会
conjunction n.接合，连接；连接词
connect vt.连接，连结；联系
connection n.连接，联系；连贯性
conquer vt.征服，战胜；破除
conquest n.攻取，征服；克服
conscience n.良心，道德心
conscious a.意识到的；有意的
consciousness n.意识，觉悟；知觉
consent n.同意，赞成 vi.同意
consequence n.结果，后果
consequently ad.因此，因而，所以
conservation n.保存，保护；守恒
conservative a.保守的 n.保守的人
considerable a.相当大的；重要的
considerate a.考虑周到的；体谅的
consideration n.考虑，思考；体贴
consist vi.由…组成；在于
consistent a.坚持的，一贯的
constant a.经常的；永恒的
constitution n.章程；体质；构造
construct vt.建造；建设；构筑
construction n.建造；建筑；建筑物
consult vt.请教，查阅
consume vt.消耗，消费；消灭
consumption n.消耗量；消耗
contact vt.使接触；与…联系
contain vt.包含，容纳；等于
container n.容器；集装箱
contemporary a.当代的，同时代的
contempt n.轻蔑；藐视；受辱
content n.内容，目录；容量
content a.满意的，满足的
contest vt.争夺，争取；辩驳
continent n.大陆；陆地；洲
continual a.不断的；连续的
continue vt.继续，连续；延伸
continuous a.连续不断的，持续的
contract n.契约，合同；婚约
contradiction n.矛盾，不一致；否认
contrary a.相反的 n.相反
contrast n.对比，对照，悬殊
contribute vt.捐献，捐助；投稿
convenience n.便利，方便；厕所
convenient a.便利的；近便的
convention n.习俗，惯例；公约
conventional a.普通的；习惯的
conversation n.会话，非正式会谈
conversely ad.相反地
conversion n.转变，转化；改变
convert vt.使转变；使改变
convey vt.传送；运送；传播
convince vt.使确信，使信服
cooperate vi.合作，协作；配合
coordinate vt.使协调，调节
copper n.铜；铜币，铜制器
cord n.细绳，粗线，索
cordial a.真诚的，诚恳的
core n.果实的心，核心
corn n.谷物；(英)小麦
corner n.角；犄角；边远地区
corporation n.公司，企业；社团
correct a.正确的 vt.纠正
correction n.改正，纠正，修改
correspond vi.相符合；相当
correspondent n.通信者；通讯员
corresponding a.相应的；符合的
corridor n.走廊，回廊，通路
costly a.昂贵的；价值高的
cottage n.村舍，小屋
cotton n.棉；棉线；棉布
cough vi.咳，咳嗽 n.咳嗽
courage n.勇气，胆量，胆识
coward n.懦夫；胆怯者
crack n.裂缝，裂纹 vi.爆裂
craft n.工艺；手艺，行业
crane n.起重机，摄影升降机
crash vi.碰撞，坠落 n.碰撞
crawl vi.爬，爬行
crazy a.疯狂的，荒唐的
cream n.奶油，乳脂；奶油色
creative a.创造性的，创作的
creature n.生物，动物，家畜
credit n.信用贷款；信用
creep vi.爬行；缓慢地行进
crew n.全体船员
cricket n.板球；蟋蟀
crime n.罪，罪行；犯罪
criminal n.犯人，罪犯，刑事犯
cripple n.跛子；残废的人
crisis n.危机；存亡之际
critic n.批评家，爱挑剔的人
critical a.决定性的；批评的
criticism n.批评；批判；评论
crude a.简陋的；天然的
cruel a.残忍的，残酷的
crush vt.压碎，碾碎；镇压
crust n.面包皮；硬外皮
crystal n.水晶，结晶体；晶粒
cubic a.立方形的；立方的
cucumber n.黄瓜
cultivate vt.耕；种植；培养
cunning a.狡猾的，狡诈的
cupboard n.碗柜，碗碟橱；食橱
cure vt.医治；消除 n.治愈
curiosity n.好奇，好奇心；珍品
curious a.好奇的；稀奇古怪的
curl n.卷毛；螺旋 vi.卷曲
current a.当前的；通用的
curse n.诅咒，咒骂；天谴
curtain n.帘，窗帘；幕(布)
curve n.曲线；弯 vt.弄弯
cushion n.垫子，坐垫，*垫
custom n.习惯，风俗；海关
customer n.顾客，主顾
